NIfTI_ID,label,isCortex
2,RM-TCpol_R,1
3,RM-TCs_R,1
4,RM-Amyg_R,0
5,RM-PFCoi_R,1
6,RM-IA_R,1
7,RM-PFCom_R,1
8,RM-TCc_R,1
9,RM-PFCol_R,1
10,RM-TCi_R,1
11,RM-PHC_R,1
12,MM82a-G_R,1
13,RM-PMCvl_R,1
14,RM-VACv_R,1
15,RM-Ip_R,1
16,RM-PFCpol_R,1
17,RM-HC_R,1
18,RM-CCs_R,1
19,RM-PFCvl_R,1
20,RM-V2_R,1
21,RM-PFCm_R,1
22,RM-TCv_R,1
23,RM-VACd_R,1
24,RM-V1_R,1
25,RM-PFCcl_R,1
26,RM-A2_R,1
27,RM-CCr_R,1
28,RM-CCp_R,1
29,RM-CCa_R,1
30,RM-S2_R,1
31,RM-S1_R,1
32,RM-A1_R,1
33,RM-M1_R,1
34,RM-PCi_R,1
35,RM-PCm_R,1
36,RM-PFCdm_R,1
37,RM-PCip_R,1
38,RM-PCs_R,1
39,RM-FEF_R,1
40,RM-PFCdl_R,1
41,RM-PMCm_R,1
42,RM-PMCdl_R,1
51,TM-F_R,0
52,TM-T_R,0
53,TM-OP_R,0
61,BG-Cd_R,0
62,BG-Pu_R,0
63,BG-Pa_R,0
64,BG-Acc_R,0
102,RM-TCpol_L,1
103,RM-TCs_L,1
104,RM-Amyg_L,0
105,RM-PFCoi_L,1
106,RM-IA_L,1
107,RM-PFCom_L,1
108,RM-TCc_L,1
109,RM-PFCol_L,1
110,RM-TCi_L,1
111,RM-PHC_L,1
112,MM82a-G_L,1
113,RM-PMCvl_L,1
114,RM-VACv_L,1
115,RM-Ip_L,1
116,RM-PFCpol_L,1
117,RM-HC_L,1
118,RM-CCs_L,1
119,RM-PFCvl_L,1
120,RM-V2_L,1
121,RM-PFCm_L,1
122,RM-TCv_L,1
123,RM-VACd_L,1
124,RM-V1_L,1
125,RM-PFCcl_L,1
126,RM-A2_L,1
127,RM-CCr_L,1
128,RM-CCp_L,1
129,RM-CCa_L,1
130,RM-S2_L,1
131,RM-S1_L,1
132,RM-A1_L,1
133,RM-M1_L,1
134,RM-PCi_L,1
135,RM-PCm_L,1
136,RM-PFCdm_L,1
137,RM-PCip_L,1
138,RM-PCs_L,1
139,RM-FEF_L,1
140,RM-PFCdl_L,1
141,RM-PMCm_L,1
142,RM-PMCdl_L,1
151,TM-F_L,0
152,TM-T_L,0
153,TM-OP_L,0
161,BG-Cd_L,0
162,BG-Pu_L,0
163,BG-Pa_L,0
164,BG-Acc_L,0
